week_start_date,product_id,product_name,units_sold,gross_revenue_usd,returns,net_revenue_usd,promo_active,weather_score
2023-01-23,PROD010,Macaron (6-pack),56,532.0,0,532.0,No,8.4
2023-01-23,PROD011,Banana Bread Slice,115,345.0,0,345.0,No,4.1
2023-01-23,PROD012,Lemon Tart,74,388.5,1,383.25,No,9.4
2023-01-23,PROD013,Pretzel,167,459.25,0,459.25,No,6.7
2023-01-23,PROD014,Red Velvet Cupcake,97,436.5,1,432.0,No,8.1
2023-01-23,PROD015,Gingerbread Cookie,89,222.5,0,222.5,No,8.8
2023-01-30,PROD001,Sourdough Loaf,126,1071.0,0,1071.0,No,8.8
2023-01-30,PROD002,Croissant,286,1072.5,0,1072.5,Yes,8.6
2023-01-30,PROD003,Cinnamon Roll,200,850.0,1,845.75,No,7.7
2023-01-30,PROD004,Baguette,202,707.0,0,707.0,No,7.5
2023-01-30,PROD005,Blueberry Muffin,142,461.5,0,461.5,No,7.7
2023-01-30,PROD006,Chocolate Éclair,128,608.0,1,603.25,Yes,8.4
2023-01-30,PROD007,Almond Tart,63,346.5,0,346.5,No,3.1
2023-01-30,PROD008,Focaccia,71,497.0,0,497.0,No,4.1
2023-01-30,PROD009,Pumpkin Pie Slice,38,190.0,0,190.0,No,5.2
2023-01-30,PROD010,Macaron (6-pack),67,636.5,0,636.5,No,8.3
2023-01-30,PROD011,Banana Bread Slice,161,483.0,0,483.0,No,6.7
2023-01-30,PROD012,Lemon Tart,74,388.5,0,388.5,No,7.8
2023-01-30,PROD013,Pretzel,121,332.75,0,332.75,No,3.2
2023-01-30,PROD014,Red Velvet Cupcake,107,481.5,1,477.0,No,7.1
2023-01-30,PROD015,Gingerbread Cookie,89,222.5,0,222.5,No,7.3
2023-02-06,PROD001,Sourdough Loaf,134,1139.0,0,1139.0,No,8.5
2023-02-06,PROD002,Croissant,203,761.25,0,761.25,No,6.9
2023-02-06,PROD003,Cinnamon Roll,226,960.5,0,960.5,Yes,7.3
2023-02-06,PROD004,Baguette,164,574.0,0,574.0,No,7.1
2023-02-06,PROD005,Blueberry Muffin,205,666.25,0,666.25,Yes,8.8
2023-02-06,PROD006,Chocolate Éclair,89,422.75,0,422.75,No,7.8
2023-02-06,PROD007,Almond Tart,88,484.0,0,484.0,Yes,8.5
2023-02-06,PROD008,Focaccia,68,476.0,0,476.0,No,4.2
2023-02-06,PROD009,Pumpkin Pie Slice,49,245.0,0,245.0,No,7.4
2023-02-06,PROD010,Macaron (6-pack),49,465.5,1,456.0,No,6.0
2023-02-06,PROD011,Banana Bread Slice,184,552.0,0,552.0,Yes,7.8
2023-02-06,PROD012,Lemon Tart,79,414.75,1,409.5,No,6.8
2023-02-06,PROD013,Pretzel,146,401.5,0,401.5,No,4.1
2023-02-06,PROD014,Red Velvet Cupcake,141,634.5,1,630.0,Yes,7.3
2023-02-06,PROD015,Gingerbread Cookie,93,232.5,0,232.5,No,7.0
2023-02-13,PROD001,Sourdough Loaf,114,969.0,0,969.0,No,5.6
2023-02-13,PROD002,Croissant,288,1080.0,1,1076.25,Yes,6.9
2023-02-13,PROD003,Cinnamon Roll,179,760.75,0,760.75,No,8.5
2023-02-13,PROD004,Baguette,140,490.0,0,490.0,No,4.4
2023-02-13,PROD005,Blueberry Muffin,179,581.75,0,581.75,No,7.5
2023-02-13,PROD006,Chocolate Éclair,83,394.25,0,394.25,No,4.2
2023-02-13,PROD007,Almond Tart,64,352.0,0,352.0,No,7.6
2023-02-13,PROD008,Focaccia,73,511.0,0,511.0,No,7.6
2023-02-13,PROD009,Pumpkin Pie Slice,44,220.0,0,220.0,No,6.5
2023-02-13,PROD010,Macaron (6-pack),66,627.0,0,627.0,Yes,5.5
2023-02-13,PROD011,Banana Bread Slice,188,564.0,0,564.0,Yes,4.7
2023-02-13,PROD012,Lemon Tart,57,299.25,0,299.25,Yes,3.4
2023-02-13,PROD013,Pretzel,161,442.75,0,442.75,No,6.5
2023-02-13,PROD014,Red Velvet Cupcake,125,562.5,0,562.5,No,6.7
2023-02-13,PROD015,Gingerbread Cookie,74,185.0,0,185.0,No,5.5
2023-02-20,PROD001,Sourdough Loaf,110,935.0,0,935.0,No,3.3
2023-02-20,PROD002,Croissant,192,720.0,0,720.0,No,8.1
2023-02-20,PROD003,Cinnamon Roll,122,518.5,1,514.25,No,4.3
2023-02-20,PROD004,Baguette,156,546.0,0,546.0,No,5.9
2023-02-20,PROD005,Blueberry Muffin,194,630.5,0,630.5,No,6.8
2023-02-20,PROD006,Chocolate Éclair,129,612.75,2,603.25,Yes,7.7
2023-02-20,PROD007,Almond Tart,94,517.0,0,517.0,Yes,9.3
2023-02-20,PROD008,Focaccia,96,672.0,0,672.0,Yes,3.3
2023-02-20,PROD009,Pumpkin Pie Slice,40,200.0,0,200.0,No,3.0
2023-02-20,PROD010,Macaron (6-pack),59,560.5,0,560.5,No,3.3
2023-02-20,PROD011,Banana Bread Slice,143,429.0,0,429.0,No,8.5
2023-02-20,PROD012,Lemon Tart,78,409.5,0,409.5,No,6.6
2023-02-20,PROD013,Pretzel,189,519.75,0,519.75,No,6.4
2023-02-20,PROD014,Red Velvet Cupcake,138,621.0,1,616.5,Yes,6.5
2023-02-20,PROD015,Gingerbread Cookie,100,250.0,0,250.0,No,5.2
2023-02-27,PROD001,Sourdough Loaf,108,918.0,0,918.0,No,7.0
2023-02-27,PROD002,Croissant,195,731.25,0,731.25,No,3.7
2023-02-27,PROD003,Cinnamon Roll,205,871.25,0,871.25,No,7.2
2023-02-27,PROD004,Baguette,144,504.0,0,504.0,No,5.5
2023-02-27,PROD005,Blueberry Muffin,203,659.75,0,659.75,Yes,4.7
2023-02-27,PROD006,Chocolate Éclair,90,427.5,0,427.5,No,6.3
2023-02-27,PROD007,Almond Tart,55,302.5,0,302.5,No,4.9
2023-02-27,PROD008,Focaccia,110,770.0,0,770.0,Yes,9.3
2023-02-27,PROD009,Pumpkin Pie Slice,43,215.0,0,215.0,No,7.1
2023-02-27,PROD010,Macaron (6-pack),69,655.5,0,655.5,No,8.4
2023-02-27,PROD011,Banana Bread Slice,153,459.0,0,459.0,No,8.7
2023-02-27,PROD012,Lemon Tart,82,430.5,0,430.5,Yes,7.5
2023-02-27,PROD013,Pretzel,170,467.5,0,467.5,No,3.2
2023-02-27,PROD014,Red Velvet Cupcake,160,720.0,1,715.5,Yes,8.3
2023-02-27,PROD015,Gingerbread Cookie,88,220.0,0,220.0,No,5.9
2023-03-06,PROD001,Sourdough Loaf,152,1292.0,0,1292.0,Yes,3.0
2023-03-06,PROD002,Croissant,326,1222.5,0,1222.5,Yes,7.8
2023-03-06,PROD003,Cinnamon Roll,190,807.5,0,807.5,No,4.9
2023-03-06,PROD004,Baguette,164,574.0,0,574.0,No,4.8
2023-03-06,PROD005,Blueberry Muffin,192,624.0,0,624.0,Yes,4.0
2023-03-06,PROD006,Chocolate Éclair,103,489.25,0,489.25,No,8.2
2023-03-06,PROD007,Almond Tart,61,335.5,1,330.0,No,8.8
2023-03-06,PROD008,Focaccia,86,602.0,1,595.0,No,7.2
2023-03-06,PROD009,Pumpkin Pie Slice,48,240.0,0,240.0,Yes,3.3
2023-03-06,PROD010,Macaron (6-pack),61,579.5,0,579.5,No,6.6
2023-03-06,PROD011,Banana Bread Slice,142,426.0,1,423.0,No,4.4
2023-03-06,PROD012,Lemon Tart,66,346.5,0,346.5,No,3.9
2023-03-06,PROD013,Pretzel,262,720.5,0,720.5,Yes,7.4
2023-03-06,PROD014,Red Velvet Cupcake,171,769.5,0,769.5,Yes,7.9
2023-03-06,PROD015,Gingerbread Cookie,131,327.5,0,327.5,Yes,7.4
2023-03-13,PROD001,Sourdough Loaf,177,1504.5,0,1504.5,Yes,6.8
2023-03-13,PROD002,Croissant,192,720.0,0,720.0,No,4.9
2023-03-13,PROD003,Cinnamon Roll,227,964.75,0,964.75,Yes,6.2
2023-03-13,PROD004,Baguette,228,798.0,0,798.0,Yes,6.7
2023-03-13,PROD005,Blueberry Muffin,142,461.5,0,461.5,No,4.1
2023-03-13,PROD006,Chocolate Éclair,106,503.5,0,503.5,No,4.8
2023-03-13,PROD007,Almond Tart,52,286.0,0,286.0,No,5.2
2023-03-13,PROD008,Focaccia,78,546.0,0,546.0,No,3.7
2023-03-13,PROD009,Pumpkin Pie Slice,56,280.0,0,280.0,Yes,4.8
2023-03-13,PROD010,Macaron (6-pack),46,437.0,0,437.0,No,7.1
2023-03-13,PROD011,Banana Bread Slice,134,402.0,0,402.0,No,8.5
2023-03-13,PROD012,Lemon Tart,53,278.25,0,278.25,No,4.4
2023-03-13,PROD013,Pretzel,161,442.75,0,442.75,No,8.8
2023-03-13,PROD014,Red Velvet Cupcake,118,531.0,0,531.0,No,8.8
2023-03-13,PROD015,Gingerbread Cookie,86,215.0,0,215.0,No,3.9
2023-03-20,PROD001,Sourdough Loaf,154,1309.0,1,1300.5,Yes,4.6
2023-03-20,PROD002,Croissant,215,806.25,0,806.25,No,7.4
2023-03-20,PROD003,Cinnamon Roll,177,752.25,1,748.0,No,6.7
2023-03-20,PROD004,Baguette,217,759.5,0,759.5,Yes,7.8
2023-03-20,PROD005,Blueberry Muffin,156,507.0,0,507.0,No,4.7
2023-03-20,PROD006,Chocolate Éclair,96,456.0,1,451.25,No,6.4
2023-03-20,PROD007,Almond Tart,50,275.0,0,275.0,No,3.3
2023-03-20,PROD008,Focaccia,112,784.0,0,784.0,Yes,9.3
2023-03-20,PROD009,Pumpkin Pie Slice,39,195.0,0,195.0,No,6.7
2023-03-20,PROD010,Macaron (6-pack),60,570.0,0,570.0,No,6.8
2023-03-20,PROD011,Banana Bread Slice,133,399.0,0,399.0,No,4.4
2023-03-20,PROD012,Lemon Tart,69,362.25,0,362.25,No,5.2
2023-03-20,PROD013,Pretzel,133,365.75,0,365.75,No,5.9
2023-03-20,PROD014,Red Velvet Cupcake,114,513.0,0,513.0,No,4.8
2023-03-20,PROD015,Gingerbread Cookie,107,267.5,0,267.5,No,7.3
2023-03-27,PROD001,Sourdough Loaf,108,918.0,0,918.0,No,3.7
2023-03-27,PROD002,Croissant,180,675.0,0,675.0,No,5.7
2023-03-27,PROD003,Cinnamon Roll,266,1130.5,1,1126.25,Yes,6.9
2023-03-27,PROD004,Baguette,206,721.0,1,717.5,Yes,4.1
2023-03-27,PROD005,Blueberry Muffin,190,617.5,1,614.25,No,5.6
2023-03-27,PROD006,Chocolate Éclair,96,456.0,1,451.25,No,8.3
2023-03-27,PROD007,Almond Tart,55,302.5,0,302.5,No,6.9
2023-03-27,PROD008,Focaccia,79,553.0,0,553.0,No,3.9
2023-03-27,PROD009,Pumpkin Pie Slice,39,195.0,0,195.0,No,7.1
2023-03-27,PROD010,Macaron (6-pack),58,551.0,0,551.0,No,6.9
2023-03-27,PROD011,Banana Bread Slice,156,468.0,1,465.0,No,3.9
2023-03-27,PROD012,Lemon Tart,73,383.25,0,383.25,No,8.4
2023-03-27,PROD013,Pretzel,215,591.25,0,591.25,Yes,8.9
2023-03-27,PROD014,Red Velvet Cupcake,89,400.5,0,400.5,No,3.6
2023-03-27,PROD015,Gingerbread Cookie,126,315.0,0,315.0,No,6.5
2023-04-03,PROD001,Sourdough Loaf,123,1045.5,1,1037.0,No,5.7
2023-04-03,PROD002,Croissant,232,870.0,0,870.0,No,5.8
2023-04-03,PROD003,Cinnamon Roll,190,807.5,1,803.25,No,8.2
2023-04-03,PROD004,Baguette,146,511.0,0,511.0,No,6.7
2023-04-03,PROD005,Blueberry Muffin,160,520.0,0,520.0,No,3.5
2023-04-03,PROD006,Chocolate Éclair,107,508.25,0,508.25,No,4.7
2023-04-03,PROD007,Almond Tart,63,346.5,0,346.5,No,6.4
2023-04-03,PROD008,Focaccia,84,588.0,0,588.0,No,8.2
2023-04-03,PROD009,Pumpkin Pie Slice,41,205.0,0,205.0,No,4.7
2023-04-03,PROD010,Macaron (6-pack),65,617.5,0,617.5,No,7.0
2023-04-03,PROD011,Banana Bread Slice,147,441.0,0,441.0,No,6.6
2023-04-03,PROD012,Lemon Tart,77,404.25,0,404.25,No,6.1
2023-04-03,PROD013,Pretzel,163,448.25,1,445.5,No,3.9
2023-04-03,PROD014,Red Velvet Cupcake,148,666.0,0,666.0,Yes,4.5
2023-04-03,PROD015,Gingerbread Cookie,77,192.5,0,192.5,No,8.1
2023-04-10,PROD001,Sourdough Loaf,143,1215.5,0,1215.5,No,7.4
2023-04-10,PROD002,Croissant,231,866.25,0,866.25,No,8.4
2023-04-10,PROD003,Cinnamon Roll,172,731.0,0,731.0,No,3.6
2023-04-10,PROD004,Baguette,187,654.5,0,654.5,No,9.0
2023-04-10,PROD005,Blueberry Muffin,167,542.75,0,542.75,No,4.9
2023-04-10,PROD006,Chocolate Éclair,121,574.75,0,574.75,Yes,6.2
2023-04-10,PROD007,Almond Tart,63,346.5,0,346.5,No,9.0
2023-04-10,PROD008,Focaccia,86,602.0,0,602.0,No,7.5
2023-04-10,PROD009,Pumpkin Pie Slice,33,165.0,0,165.0,No,5.3
2023-04-10,PROD010,Macaron (6-pack),41,389.5,0,389.5,No,5.6
2023-04-10,PROD011,Banana Bread Slice,164,492.0,1,489.0,No,4.3
2023-04-10,PROD012,Lemon Tart,72,378.0,0,378.0,No,7.7
2023-04-10,PROD013,Pretzel,179,492.25,1,489.5,No,5.3
2023-04-10,PROD014,Red Velvet Cupcake,104,468.0,0,468.0,No,5.6
2023-04-10,PROD015,Gingerbread Cookie,117,292.5,0,292.5,Yes,6.3
2023-04-17,PROD001,Sourdough Loaf,158,1343.0,0,1343.0,Yes,6.3
2023-04-17,PROD002,Croissant,222,832.5,0,832.5,No,8.2
2023-04-17,PROD003,Cinnamon Roll,203,862.75,0,862.75,No,4.6
2023-04-17,PROD004,Baguette,191,668.5,0,668.5,No,7.4
2023-04-17,PROD005,Blueberry Muffin,141,458.25,0,458.25,No,5.5
2023-04-17,PROD006,Chocolate Éclair,102,484.5,0,484.5,No,7.6
2023-04-17,PROD007,Almond Tart,58,319.0,0,319.0,No,7.6
2023-04-17,PROD008,Focaccia,82,574.0,0,574.0,No,5.6
2023-04-17,PROD009,Pumpkin Pie Slice,48,240.0,0,240.0,Yes,5.0
2023-04-17,PROD010,Macaron (6-pack),54,513.0,0,513.0,No,4.2
2023-04-17,PROD011,Banana Bread Slice,100,300.0,0,300.0,No,4.5
2023-04-17,PROD012,Lemon Tart,72,378.0,0,378.0,No,4.5
2023-04-17,PROD013,Pretzel,132,363.0,0,363.0,No,3.8
2023-04-17,PROD014,Red Velvet Cupcake,141,634.5,1,630.0,No,6.2
2023-04-17,PROD015,Gingerbread Cookie,98,245.0,0,245.0,No,5.4
2023-04-24,PROD001,Sourdough Loaf,125,1062.5,0,1062.5,No,8.7
2023-04-24,PROD002,Croissant,202,757.5,0,757.5,No,6.3
2023-04-24,PROD003,Cinnamon Roll,153,650.25,1,646.0,No,3.8
2023-04-24,PROD004,Baguette,197,689.5,1,686.0,Yes,5.3
2023-04-24,PROD005,Blueberry Muffin,184,598.0,0,598.0,No,6.0
2023-04-24,PROD006,Chocolate Éclair,136,646.0,0,646.0,Yes,7.4
2023-04-24,PROD007,Almond Tart,83,456.5,0,456.5,Yes,5.4
2023-04-24,PROD008,Focaccia,87,609.0,0,609.0,No,9.2
2023-04-24,PROD009,Pumpkin Pie Slice,47,235.0,0,235.0,Yes,5.8
2023-04-24,PROD010,Macaron (6-pack),62,589.0,0,589.0,No,5.9
2023-04-24,PROD011,Banana Bread Slice,163,489.0,0,489.0,No,7.5
2023-04-24,PROD012,Lemon Tart,61,320.25,0,320.25,No,8.6
2023-04-24,PROD013,Pretzel,184,506.0,0,506.0,No,7.8
2023-04-24,PROD014,Red Velvet Cupcake,162,729.0,0,729.0,Yes,8.8
2023-04-24,PROD015,Gingerbread Cookie,88,220.0,1,217.5,No,5.1
2023-05-01,PROD001,Sourdough Loaf,153,1300.5,0,1300.5,Yes,3.6
2023-05-01,PROD002,Croissant,207,776.25,0,776.25,No,4.7
2023-05-01,PROD003,Cinnamon Roll,176,748.0,0,748.0,No,5.3
2023-05-01,PROD004,Baguette,139,486.5,0,486.5,No,5.2
2023-05-01,PROD005,Blueberry Muffin,181,588.25,0,588.25,No,6.7
2023-05-01,PROD006,Chocolate Éclair,102,484.5,0,484.5,No,9.4
2023-05-01,PROD007,Almond Tart,69,379.5,0,379.5,No,5.9
2023-05-01,PROD008,Focaccia,102,714.0,0,714.0,No,6.0
2023-05-01,PROD009,Pumpkin Pie Slice,39,195.0,0,195.0,No,5.7
2023-05-01,PROD010,Macaron (6-pack),68,646.0,0,646.0,No,8.9
2023-05-01,PROD011,Banana Bread Slice,161,483.0,0,483.0,No,7.6
2023-05-01,PROD012,Lemon Tart,77,404.25,0,404.25,No,8.8
2023-05-01,PROD013,Pretzel,130,357.5,0,357.5,No,5.9
2023-05-01,PROD014,Red Velvet Cupcake,108,486.0,0,486.0,No,3.8
2023-05-01,PROD015,Gingerbread Cookie,103,257.5,0,257.5,No,4.4
2023-05-08,PROD001,Sourdough Loaf,174,1479.0,0,1479.0,Yes,9.1
2023-05-08,PROD002,Croissant,234,877.5,0,877.5,No,9.5
2023-05-08,PROD003,Cinnamon Roll,195,828.75,0,828.75,No,3.5
2023-05-08,PROD004,Baguette,150,525.0,0,525.0,No,5.9
2023-05-08,PROD005,Blueberry Muffin,176,572.0,1,568.75,No,4.1
2023-05-08,PROD006,Chocolate Éclair,97,460.75,1,456.0,No,6.0
2023-05-08,PROD007,Almond Tart,75,412.5,0,412.5,No,6.6
2023-05-08,PROD008,Focaccia,101,707.0,0,707.0,No,6.0
2023-05-08,PROD009,Pumpkin Pie Slice,38,190.0,1,185.0,No,5.8
2023-05-08,PROD010,Macaron (6-pack),49,465.5,0,465.5,No,4.5
2023-05-08,PROD011,Banana Bread Slice,147,441.0,0,441.0,No,5.7
2023-05-08,PROD012,Lemon Tart,65,341.25,0,341.25,No,3.9
2023-05-08,PROD013,Pretzel,153,420.75,0,420.75,No,7.5
2023-05-08,PROD014,Red Velvet Cupcake,124,558.0,0,558.0,No,8.2
2023-05-08,PROD015,Gingerbread Cookie,110,275.0,0,275.0,No,6.6
2023-05-15,PROD001,Sourdough Loaf,160,1360.0,0,1360.0,No,7.6
2023-05-15,PROD002,Croissant,230,862.5,0,862.5,No,4.4
2023-05-15,PROD003,Cinnamon Roll,210,892.5,0,892.5,No,7.0
2023-05-15,PROD004,Baguette,150,525.0,0,525.0,No,7.2
2023-05-15,PROD005,Blueberry Muffin,202,656.5,0,656.5,Yes,3.9
2023-05-15,PROD006,Chocolate Éclair,90,427.5,0,427.5,No,5.9
2023-05-15,PROD007,Almond Tart,82,451.0,0,451.0,Yes,9.3
2023-05-15,PROD008,Focaccia,88,616.0,0,616.0,No,4.8
2023-05-15,PROD009,Pumpkin Pie Slice,53,265.0,0,265.0,Yes,3.1
2023-05-15,PROD010,Macaron (6-pack),55,522.5,0,522.5,No,8.1
2023-05-15,PROD011,Banana Bread Slice,178,534.0,0,534.0,Yes,3.5
2023-05-15,PROD012,Lemon Tart,78,409.5,0,409.5,Yes,4.7
2023-05-15,PROD013,Pretzel,188,517.0,0,517.0,No,4.6
2023-05-15,PROD014,Red Velvet Cupcake,163,733.5,2,724.5,Yes,9.3
2023-05-15,PROD015,Gingerbread Cookie,99,247.5,0,247.5,No,9.5
2023-05-22,PROD001,Sourdough Loaf,113,960.5,0,960.5,No,3.6
2023-05-22,PROD002,Croissant,217,813.75,0,813.75,No,9.1
2023-05-22,PROD003,Cinnamon Roll,190,807.5,0,807.5,No,7.8
2023-05-22,PROD004,Baguette,152,532.0,0,532.0,No,5.3
2023-05-22,PROD005,Blueberry Muffin,188,611.0,0,611.0,No,9.3
2023-05-22,PROD006,Chocolate Éclair,109,517.75,0,517.75,No,6.8
2023-05-22,PROD007,Almond Tart,60,330.0,0,330.0,No,9.3
2023-05-22,PROD008,Focaccia,109,763.0,0,763.0,Yes,8.0
2023-05-22,PROD009,Pumpkin Pie Slice,37,185.0,0,185.0,No,7.5
2023-05-22,PROD010,Macaron (6-pack),89,845.5,0,845.5,Yes,5.3
2023-05-22,PROD011,Banana Bread Slice,123,369.0,0,369.0,No,3.7
2023-05-22,PROD012,Lemon Tart,67,351.75,1,346.5,No,5.3
2023-05-22,PROD013,Pretzel,140,385.0,0,385.0,No,3.1
2023-05-22,PROD014,Red Velvet Cupcake,173,778.5,0,778.5,Yes,7.6
2023-05-22,PROD015,Gingerbread Cookie,88,220.0,0,220.0,No,6.2
2023-05-29,PROD001,Sourdough Loaf,130,1105.0,0,1105.0,No,8.6
2023-05-29,PROD002,Croissant,174,652.5,0,652.5,No,4.0
2023-05-29,PROD003,Cinnamon Roll,186,790.5,0,790.5,No,6.0
2023-05-29,PROD004,Baguette,186,651.0,0,651.0,No,7.8
2023-05-29,PROD005,Blueberry Muffin,147,477.75,0,477.75,No,5.1
2023-05-29,PROD006,Chocolate Éclair,108,513.0,0,513.0,No,8.3
2023-05-29,PROD007,Almond Tart,90,495.0,0,495.0,Yes,4.8
2023-05-29,PROD008,Focaccia,77,539.0,1,532.0,No,3.6
2023-05-29,PROD009,Pumpkin Pie Slice,49,245.0,0,245.0,Yes,3.2
2023-05-29,PROD010,Macaron (6-pack),65,617.5,0,617.5,Yes,3.2
2023-05-29,PROD011,Banana Bread Slice,139,417.0,0,417.0,No,6.8
2023-05-29,PROD012,Lemon Tart,90,472.5,0,472.5,No,7.7
2023-05-29,PROD013,Pretzel,197,541.75,0,541.75,No,8.4
2023-05-29,PROD014,Red Velvet Cupcake,113,508.5,0,508.5,No,5.3
2023-05-29,PROD015,Gingerbread Cookie,69,172.5,0,172.5,No,3.4
2023-06-05,PROD001,Sourdough Loaf,137,1164.5,0,1164.5,No,7.8
2023-06-05,PROD002,Croissant,190,712.5,0,712.5,No,3.7
2023-06-05,PROD003,Cinnamon Roll,166,705.5,1,701.25,No,4.3
2023-06-05,PROD004,Baguette,143,500.5,0,500.5,No,6.6
2023-06-05,PROD005,Blueberry Muffin,160,520.0,0,520.0,No,6.7
2023-06-05,PROD006,Chocolate Éclair,117,555.75,0,555.75,Yes,8.2
2023-06-05,PROD007,Almond Tart,56,308.0,1,302.5,No,7.3
2023-06-05,PROD008,Focaccia,84,588.0,2,574.0,No,6.6
2023-06-05,PROD009,Pumpkin Pie Slice,36,180.0,0,180.0,No,5.7
2023-06-05,PROD010,Macaron (6-pack),50,475.0,0,475.0,No,6.5
2023-06-05,PROD011,Banana Bread Slice,145,435.0,1,432.0,No,7.8
2023-06-05,PROD012,Lemon Tart,89,467.25,0,467.25,Yes,3.2
2023-06-05,PROD013,Pretzel,222,610.5,2,605.0,Yes,3.9
2023-06-05,PROD014,Red Velvet Cupcake,112,504.0,0,504.0,No,5.0
2023-06-05,PROD015,Gingerbread Cookie,120,300.0,0,300.0,No,8.3
2023-06-12,PROD001,Sourdough Loaf,110,935.0,0,935.0,No,3.6
2023-06-12,PROD002,Croissant,281,1053.75,0,1053.75,Yes,4.7
2023-06-12,PROD003,Cinnamon Roll,185,786.25,0,786.25,No,6.7
2023-06-12,PROD004,Baguette,138,483.0,0,483.0,No,3.5
2023-06-12,PROD005,Blueberry Muffin,198,643.5,0,643.5,No,7.6
2023-06-12,PROD006,Chocolate Éclair,148,703.0,0,703.0,Yes,7.2
2023-06-12,PROD007,Almond Tart,72,396.0,0,396.0,No,9.0
