date,day_of_week,hour_slot,visitor_count,avg_dwell_minutes,conversion_rate_pct,temperature_c,precipitation_mm,is_holiday
2023-01-10,Tuesday,07:00-09:00,53,11.6,60.7,15.9,4.7,No
2023-01-10,Tuesday,09:00-11:00,105,10.9,67.7,15.9,4.7,No
2023-01-10,Tuesday,11:00-13:00,99,16.7,67.8,15.9,4.7,No
2023-01-10,Tuesday,13:00-15:00,42,14.9,66.7,15.9,4.7,No
2023-01-10,Tuesday,15:00-17:00,70,13.1,67.8,15.9,4.7,No
2023-01-10,Tuesday,17:00-19:00,46,11.1,63.8,15.9,4.7,No
2023-01-11,Wednesday,07:00-09:00,50,16.3,77.0,5.0,0,No
2023-01-11,Wednesday,09:00-11:00,53,11.8,65.3,5.0,0,No
2023-01-11,Wednesday,11:00-13:00,89,16.8,59.4,5.0,0,No
2023-01-11,Wednesday,13:00-15:00,63,12.8,61.1,5.0,0,No
2023-01-11,Wednesday,15:00-17:00,90,12.1,55.3,5.0,0,No
2023-01-11,Wednesday,17:00-19:00,62,10.6,49.3,5.0,0,No
2023-01-12,Thursday,07:00-09:00,55,14.2,45.8,11.3,0,No
2023-01-12,Thursday,09:00-11:00,121,13.0,58.2,11.3,0,No
2023-01-12,Thursday,11:00-13:00,115,13.3,64.1,11.3,0,No
2023-01-12,Thursday,13:00-15:00,77,10.4,62.3,11.3,0,No
2023-01-12,Thursday,15:00-17:00,74,14.3,59.9,11.3,0,No
2023-01-12,Thursday,17:00-19:00,45,13.8,68.9,11.3,0,No
2023-01-13,Friday,07:00-09:00,55,13.5,56.6,24.3,1.4,No
2023-01-13,Friday,09:00-11:00,111,16.6,58.4,24.3,1.4,No
2023-01-13,Friday,11:00-13:00,141,6.0,53.5,24.3,1.4,No
2023-01-13,Friday,13:00-15:00,74,17.3,73.3,24.3,1.4,No
2023-01-13,Friday,15:00-17:00,51,14.5,45.0,24.3,1.4,No
2023-01-13,Friday,17:00-19:00,52,11.2,55.5,24.3,1.4,No
2023-01-14,Saturday,07:00-09:00,60,18.1,66.6,16.0,3.2,No
2023-01-14,Saturday,09:00-11:00,128,20.3,73.3,16.0,3.2,No
2023-01-14,Saturday,11:00-13:00,117,14.1,72.2,16.0,3.2,No
2023-01-14,Saturday,13:00-15:00,86,12.1,63.0,16.0,3.2,No
2023-01-14,Saturday,15:00-17:00,99,11.8,58.8,16.0,3.2,No
2023-01-14,Saturday,17:00-19:00,74,12.4,76.8,16.0,3.2,No
2023-01-15,Sunday,07:00-09:00,52,11.7,68.6,15.0,0,No
2023-01-15,Sunday,09:00-11:00,183,20.8,62.4,15.0,0,No
2023-01-15,Sunday,11:00-13:00,174,22.2,62.2,15.0,0,No
2023-01-15,Sunday,13:00-15:00,114,17.0,66.0,15.0,0,No
2023-01-15,Sunday,15:00-17:00,104,25.0,67.6,15.0,0,No
2023-01-15,Sunday,17:00-19:00,84,15.7,60.4,15.0,0,No
2023-01-16,Monday,07:00-09:00,50,15.6,50.8,14.1,2.9,Yes
2023-01-16,Monday,09:00-11:00,127,13.3,73.6,14.1,2.9,Yes
2023-01-16,Monday,11:00-13:00,149,15.1,55.7,14.1,2.9,Yes
2023-01-16,Monday,13:00-15:00,87,29.7,51.2,14.1,2.9,Yes
2023-01-16,Monday,15:00-17:00,132,10.1,73.0,14.1,2.9,Yes
2023-01-16,Monday,17:00-19:00,90,15.0,55.8,14.1,2.9,Yes
2023-01-17,Tuesday,07:00-09:00,38,12.4,67.1,18.9,0,No
2023-01-17,Tuesday,09:00-11:00,104,14.4,75.7,18.9,0,No
2023-01-17,Tuesday,11:00-13:00,116,14.5,64.1,18.9,0,No
2023-01-17,Tuesday,13:00-15:00,88,9.3,68.6,18.9,0,No
2023-01-17,Tuesday,15:00-17:00,95,13.3,57.7,18.9,0,No
2023-01-17,Tuesday,17:00-19:00,76,13.2,44.0,18.9,0,No
2023-01-18,Wednesday,07:00-09:00,48,15.4,58.4,24.0,0,No
2023-01-18,Wednesday,09:00-11:00,110,10.3,64.7,24.0,0,No
2023-01-18,Wednesday,11:00-13:00,122,19.4,69.1,24.0,0,No
2023-01-18,Wednesday,13:00-15:00,86,12.3,65.8,24.0,0,No
2023-01-18,Wednesday,15:00-17:00,86,12.7,40.5,24.0,0,No
2023-01-18,Wednesday,17:00-19:00,60,11.4,51.7,24.0,0,No
2023-01-19,Thursday,07:00-09:00,33,13.0,69.8,10.8,0,No
2023-01-19,Thursday,09:00-11:00,99,20.3,68.9,10.8,0,No
2023-01-19,Thursday,11:00-13:00,93,24.9,59.3,10.8,0,No
2023-01-19,Thursday,13:00-15:00,60,14.0,70.5,10.8,0,No
2023-01-19,Thursday,15:00-17:00,64,11.9,70.3,10.8,0,No
2023-01-19,Thursday,17:00-19:00,49,9.9,61.4,10.8,0,No
2023-01-20,Friday,07:00-09:00,38,10.5,50.2,2.5,3.4,No
2023-01-20,Friday,09:00-11:00,56,20.5,63.3,2.5,3.4,No
2023-01-20,Friday,11:00-13:00,52,15.6,63.3,2.5,3.4,No
2023-01-20,Friday,13:00-15:00,52,8.6,68.3,2.5,3.4,No
2023-01-20,Friday,15:00-17:00,54,19.9,62.4,2.5,3.4,No
2023-01-20,Friday,17:00-19:00,32,15.3,55.2,2.5,3.4,No
2023-01-21,Saturday,07:00-09:00,72,15.6,68.2,27.7,0,No
2023-01-21,Saturday,09:00-11:00,141,12.0,54.4,27.7,0,No
2023-01-21,Saturday,11:00-13:00,194,14.5,73.6,27.7,0,No
2023-01-21,Saturday,13:00-15:00,112,10.1,64.0,27.7,0,No
2023-01-21,Saturday,15:00-17:00,114,8.5,61.0,27.7,0,No
2023-01-21,Saturday,17:00-19:00,79,16.1,51.8,27.7,0,No
2023-01-22,Sunday,07:00-09:00,52,7.6,65.7,7.5,0,No
2023-01-22,Sunday,09:00-11:00,123,16.7,75.7,7.5,0,No
2023-01-22,Sunday,11:00-13:00,140,11.6,71.0,7.5,0,No
2023-01-22,Sunday,13:00-15:00,94,15.8,66.7,7.5,0,No
2023-01-22,Sunday,15:00-17:00,120,7.4,58.7,7.5,0,No
2023-01-22,Sunday,17:00-19:00,71,14.3,57.5,7.5,0,No
2023-01-23,Monday,07:00-09:00,51,10.2,53.3,11.5,2.9,No
2023-01-23,Monday,09:00-11:00,87,18.3,63.1,11.5,2.9,No
2023-01-23,Monday,11:00-13:00,99,17.3,65.8,11.5,2.9,No
2023-01-23,Monday,13:00-15:00,51,13.1,65.2,11.5,2.9,No
2023-01-23,Monday,15:00-17:00,80,10.5,53.9,11.5,2.9,No
2023-01-23,Monday,17:00-19:00,55,8.3,55.8,11.5,2.9,No
2023-01-24,Tuesday,07:00-09:00,36,16.8,59.0,17.2,2.0,No
2023-01-24,Tuesday,09:00-11:00,51,20.7,53.0,17.2,2.0,No
2023-01-24,Tuesday,11:00-13:00,109,15.4,72.4,17.2,2.0,No
2023-01-24,Tuesday,13:00-15:00,71,11.0,59.9,17.2,2.0,No
2023-01-24,Tuesday,15:00-17:00,61,7.3,70.3,17.2,2.0,No
2023-01-24,Tuesday,17:00-19:00,63,11.4,55.1,17.2,2.0,No
2023-01-25,Wednesday,07:00-09:00,38,9.5,53.2,10.6,2.9,No
2023-01-25,Wednesday,09:00-11:00,87,8.8,55.6,10.6,2.9,No
2023-01-25,Wednesday,11:00-13:00,132,10.3,60.0,10.6,2.9,No
2023-01-25,Wednesday,13:00-15:00,48,18.8,53.4,10.6,2.9,No
2023-01-25,Wednesday,15:00-17:00,59,16.6,72.8,10.6,2.9,No
2023-01-25,Wednesday,17:00-19:00,43,11.1,69.0,10.6,2.9,No
2023-01-26,Thursday,07:00-09:00,49,19.9,69.9,19.7,1.6,No
2023-01-26,Thursday,09:00-11:00,102,15.1,66.1,19.7,1.6,No
2023-01-26,Thursday,11:00-13:00,78,14.3,70.7,19.7,1.6,No
2023-01-26,Thursday,13:00-15:00,67,14.5,72.2,19.7,1.6,No
2023-01-26,Thursday,15:00-17:00,96,14.0,61.2,19.7,1.6,No
2023-01-26,Thursday,17:00-19:00,71,17.6,76.1,19.7,1.6,No
2023-01-27,Friday,07:00-09:00,35,15.7,63.5,0.5,1.8,No
2023-01-27,Friday,09:00-11:00,95,1.3,64.2,0.5,1.8,No
2023-01-27,Friday,11:00-13:00,99,7.3,63.3,0.5,1.8,No
2023-01-27,Friday,13:00-15:00,42,20.2,52.5,0.5,1.8,No
2023-01-27,Friday,15:00-17:00,80,10.1,64.0,0.5,1.8,No
2023-01-27,Friday,17:00-19:00,47,20.8,57.3,0.5,1.8,No
2023-01-28,Saturday,07:00-09:00,84,12.9,49.8,28.1,0.4,No
2023-01-28,Saturday,09:00-11:00,121,18.1,68.1,28.1,0.4,No
2023-01-28,Saturday,11:00-13:00,161,13.9,66.0,28.1,0.4,No
2023-01-28,Saturday,13:00-15:00,115,9.8,71.9,28.1,0.4,No
2023-01-28,Saturday,15:00-17:00,119,7.5,45.8,28.1,0.4,No
2023-01-28,Saturday,17:00-19:00,86,16.2,68.3,28.1,0.4,No
2023-01-29,Sunday,07:00-09:00,70,24.1,62.1,16.7,0.1,No
2023-01-29,Sunday,09:00-11:00,127,16.3,54.2,16.7,0.1,No
2023-01-29,Sunday,11:00-13:00,155,16.4,60.7,16.7,0.1,No
2023-01-29,Sunday,13:00-15:00,120,9.1,67.7,16.7,0.1,No
2023-01-29,Sunday,15:00-17:00,115,20.7,48.2,16.7,0.1,No
2023-01-29,Sunday,17:00-19:00,75,16.7,68.5,16.7,0.1,No
2023-01-30,Monday,07:00-09:00,63,12.6,54.1,29.9,0,No
2023-01-30,Monday,09:00-11:00,72,7.6,66.8,29.9,0,No
2023-01-30,Monday,11:00-13:00,127,9.3,68.6,29.9,0,No
2023-01-30,Monday,13:00-15:00,88,8.4,70.0,29.9,0,No
2023-01-30,Monday,15:00-17:00,82,15.6,79.6,29.9,0,No
2023-01-30,Monday,17:00-19:00,71,17.0,70.5,29.9,0,No
2023-01-31,Tuesday,07:00-09:00,61,6.2,70.2,37.2,0.4,No
2023-01-31,Tuesday,09:00-11:00,110,18.7,53.8,37.2,0.4,No
2023-01-31,Tuesday,11:00-13:00,160,9.4,59.1,37.2,0.4,No
2023-01-31,Tuesday,13:00-15:00,98,18.0,46.8,37.2,0.4,No
2023-01-31,Tuesday,15:00-17:00,94,12.6,52.5,37.2,0.4,No
2023-01-31,Tuesday,17:00-19:00,77,18.3,54.7,37.2,0.4,No
2023-02-01,Wednesday,07:00-09:00,36,20.0,53.8,8.6,0,No
2023-02-01,Wednesday,09:00-11:00,66,15.2,59.7,8.6,0,No
2023-02-01,Wednesday,11:00-13:00,89,13.1,58.8,8.6,0,No
2023-02-01,Wednesday,13:00-15:00,43,9.1,60.7,8.6,0,No
2023-02-01,Wednesday,15:00-17:00,82,18.7,59.2,8.6,0,No
2023-02-01,Wednesday,17:00-19:00,62,13.4,60.7,8.6,0,No
2023-02-02,Thursday,07:00-09:00,49,21.5,59.2,22.7,0,No
2023-02-02,Thursday,09:00-11:00,117,7.5,61.6,22.7,0,No
2023-02-02,Thursday,11:00-13:00,132,11.4,57.9,22.7,0,No
2023-02-02,Thursday,13:00-15:00,78,14.4,43.0,22.7,0,No
2023-02-02,Thursday,15:00-17:00,72,15.7,69.3,22.7,0,No
2023-02-02,Thursday,17:00-19:00,62,14.6,75.2,22.7,0,No
2023-02-03,Friday,07:00-09:00,53,11.7,65.3,4.0,0,No
2023-02-03,Friday,09:00-11:00,74,12.2,73.3,4.0,0,No
2023-02-03,Friday,11:00-13:00,113,9.2,67.0,4.0,0,No
2023-02-03,Friday,13:00-15:00,75,13.9,58.2,4.0,0,No
2023-02-03,Friday,15:00-17:00,65,13.7,63.6,4.0,0,No
2023-02-03,Friday,17:00-19:00,40,16.5,68.7,4.0,0,No
2023-02-04,Saturday,07:00-09:00,51,15.0,62.7,12.0,2.9,No
2023-02-04,Saturday,09:00-11:00,116,12.2,54.7,12.0,2.9,No
2023-02-04,Saturday,11:00-13:00,102,11.5,69.4,12.0,2.9,No
2023-02-04,Saturday,13:00-15:00,73,5.2,41.7,12.0,2.9,No
2023-02-04,Saturday,15:00-17:00,84,5.0,61.0,12.0,2.9,No
2023-02-04,Saturday,17:00-19:00,56,16.5,70.1,12.0,2.9,No
2023-02-05,Sunday,07:00-09:00,62,13.0,49.9,6.2,2.4,No
2023-02-05,Sunday,09:00-11:00,100,13.0,62.6,6.2,2.4,No
2023-02-05,Sunday,11:00-13:00,142,18.3,65.5,6.2,2.4,No
2023-02-05,Sunday,13:00-15:00,78,15.2,58.9,6.2,2.4,No
2023-02-05,Sunday,15:00-17:00,85,16.4,58.0,6.2,2.4,No
2023-02-05,Sunday,17:00-19:00,63,12.7,69.3,6.2,2.4,No
2023-02-06,Monday,07:00-09:00,50,19.5,45.4,14.5,2.9,No
2023-02-06,Monday,09:00-11:00,101,12.9,68.1,14.5,2.9,No
2023-02-06,Monday,11:00-13:00,115,20.0,72.1,14.5,2.9,No
2023-02-06,Monday,13:00-15:00,65,15.1,63.0,14.5,2.9,No
2023-02-06,Monday,15:00-17:00,62,14.4,55.1,14.5,2.9,No
2023-02-06,Monday,17:00-19:00,53,8.6,72.6,14.5,2.9,No
2023-02-07,Tuesday,07:00-09:00,55,18.4,62.9,17.1,0.2,No
2023-02-07,Tuesday,09:00-11:00,71,17.8,72.4,17.1,0.2,No
2023-02-07,Tuesday,11:00-13:00,140,17.0,56.4,17.1,0.2,No
2023-02-07,Tuesday,13:00-15:00,65,16.9,57.7,17.1,0.2,No
2023-02-07,Tuesday,15:00-17:00,105,15.7,56.0,17.1,0.2,No
2023-02-07,Tuesday,17:00-19:00,61,16.0,64.5,17.1,0.2,No
2023-02-08,Wednesday,07:00-09:00,47,10.6,55.0,26.1,2.9,No
2023-02-08,Wednesday,09:00-11:00,75,22.6,72.2,26.1,2.9,No
2023-02-08,Wednesday,11:00-13:00,82,12.3,71.4,26.1,2.9,No
2023-02-08,Wednesday,13:00-15:00,69,14.0,52.5,26.1,2.9,No
2023-02-08,Wednesday,15:00-17:00,104,14.7,41.9,26.1,2.9,No
2023-02-08,Wednesday,17:00-19:00,52,13.6,67.4,26.1,2.9,No
2023-02-09,Thursday,07:00-09:00,47,13.2,55.1,22.3,0,No
2023-02-09,Thursday,09:00-11:00,98,10.1,57.1,22.3,0,No
2023-02-09,Thursday,11:00-13:00,140,12.5,62.7,22.3,0,No
2023-02-09,Thursday,13:00-15:00,81,10.1,60.6,22.3,0,No
2023-02-09,Thursday,15:00-17:00,123,20.0,55.7,22.3,0,No
2023-02-09,Thursday,17:00-19:00,59,16.8,74.5,22.3,0,No
2023-02-10,Friday,07:00-09:00,32,12.7,66.9,26.2,10.1,No
2023-02-10,Friday,09:00-11:00,65,13.2,55.4,26.2,10.1,No
2023-02-10,Friday,11:00-13:00,92,15.3,66.8,26.2,10.1,No
2023-02-10,Friday,13:00-15:00,46,22.0,55.8,26.2,10.1,No
2023-02-10,Friday,15:00-17:00,70,14.9,57.2,26.2,10.1,No
2023-02-10,Friday,17:00-19:00,37,9.3,61.5,26.2,10.1,No
2023-02-11,Saturday,07:00-09:00,60,18.6,63.8,21.0,1.0,No
2023-02-11,Saturday,09:00-11:00,131,8.1,48.8,21.0,1.0,No
2023-02-11,Saturday,11:00-13:00,183,14.6,58.8,21.0,1.0,No
2023-02-11,Saturday,13:00-15:00,98,14.5,50.4,21.0,1.0,No
2023-02-11,Saturday,15:00-17:00,128,17.7,47.4,21.0,1.0,No
2023-02-11,Saturday,17:00-19:00,85,7.0,62.0,21.0,1.0,No
2023-02-12,Sunday,07:00-09:00,56,16.6,81.5,21.2,5.9,No
2023-02-12,Sunday,09:00-11:00,94,12.9,61.2,21.2,5.9,No
2023-02-12,Sunday,11:00-13:00,149,4.6,53.6,21.2,5.9,No
2023-02-12,Sunday,13:00-15:00,70,14.7,64.4,21.2,5.9,No
2023-02-12,Sunday,15:00-17:00,104,12.5,61.9,21.2,5.9,No
2023-02-12,Sunday,17:00-19:00,79,21.7,61.9,21.2,5.9,No
2023-02-13,Monday,07:00-09:00,30,16.3,59.0,18.6,9.5,No
2023-02-13,Monday,09:00-11:00,62,19.2,68.6,18.6,9.5,No
2023-02-13,Monday,11:00-13:00,93,8.4,78.4,18.6,9.5,No
2023-02-13,Monday,13:00-15:00,49,15.2,71.2,18.6,9.5,No
2023-02-13,Monday,15:00-17:00,66,6.1,72.7,18.6,9.5,No
2023-02-13,Monday,17:00-19:00,34,20.2,60.4,18.6,9.5,No
2023-02-14,Tuesday,07:00-09:00,30,16.5,68.9,13.3,7.8,No
2023-02-14,Tuesday,09:00-11:00,61,15.8,59.8,13.3,7.8,No
2023-02-14,Tuesday,11:00-13:00,103,11.4,63.1,13.3,7.8,No
2023-02-14,Tuesday,13:00-15:00,50,16.4,71.0,13.3,7.8,No
2023-02-14,Tuesday,15:00-17:00,52,9.6,59.4,13.3,7.8,No
2023-02-14,Tuesday,17:00-19:00,42,18.1,53.9,13.3,7.8,No
2023-02-15,Wednesday,07:00-09:00,43,10.0,77.3,-1.4,0,No
2023-02-15,Wednesday,09:00-11:00,110,10.1,69.6,-1.4,0,No
2023-02-15,Wednesday,11:00-13:00,68,19.0,70.7,-1.4,0,No
2023-02-15,Wednesday,13:00-15:00,28,16.7,67.4,-1.4,0,No
2023-02-15,Wednesday,15:00-17:00,71,14.5,61.4,-1.4,0,No
2023-02-15,Wednesday,17:00-19:00,32,11.3,50.6,-1.4,0,No
2023-02-16,Thursday,07:00-09:00,23,8.9,66.0,20.3,8.9,No
2023-02-16,Thursday,09:00-11:00,111,15.1,61.6,20.3,8.9,No
2023-02-16,Thursday,11:00-13:00,51,14.3,61.2,20.3,8.9,No
2023-02-16,Thursday,13:00-15:00,51,19.7,60.9,20.3,8.9,No
2023-02-16,Thursday,15:00-17:00,68,16.1,57.1,20.3,8.9,No
2023-02-16,Thursday,17:00-19:00,41,16.3,74.3,20.3,8.9,No
2023-02-17,Friday,07:00-09:00,49,18.8,61.9,9.9,0,No
2023-02-17,Friday,09:00-11:00,81,21.2,55.6,9.9,0,No
2023-02-17,Friday,11:00-13:00,133,9.6,59.6,9.9,0,No
2023-02-17,Friday,13:00-15:00,94,24.5,65.1,9.9,0,No
2023-02-17,Friday,15:00-17:00,71,9.0,55.0,9.9,0,No
2023-02-17,Friday,17:00-19:00,36,18.2,62.1,9.9,0,No
2023-02-18,Saturday,07:00-09:00,64,11.2,66.6,9.6,0,No
2023-02-18,Saturday,09:00-11:00,107,17.5,68.7,9.6,0,No
2023-02-18,Saturday,11:00-13:00,124,14.1,74.3,9.6,0,No
2023-02-18,Saturday,13:00-15:00,99,22.6,67.2,9.6,0,No
2023-02-18,Saturday,15:00-17:00,95,13.3,56.4,9.6,0,No
2023-02-18,Saturday,17:00-19:00,79,19.3,52.1,9.6,0,No
2023-02-19,Sunday,07:00-09:00,55,4.7,66.6,20.7,1.8,No
2023-02-19,Sunday,09:00-11:00,120,13.3,64.5,20.7,1.8,No
2023-02-19,Sunday,11:00-13:00,150,13.3,60.4,20.7,1.8,No
2023-02-19,Sunday,13:00-15:00,98,16.7,44.1,20.7,1.8,No
2023-02-19,Sunday,15:00-17:00,117,11.5,42.1,20.7,1.8,No
2023-02-19,Sunday,17:00-19:00,80,17.7,49.1,20.7,1.8,No
2023-02-20,Monday,07:00-09:00,72,16.4,58.7,9.2,1.6,Yes
2023-02-20,Monday,09:00-11:00,128,12.1,63.4,9.2,1.6,Yes
2023-02-20,Monday,11:00-13:00,196,12.6,49.9,9.2,1.6,Yes
2023-02-20,Monday,13:00-15:00,115,11.6,48.9,9.2,1.6,Yes
2023-02-20,Monday,15:00-17:00,135,16.7,72.3,9.2,1.6,Yes
2023-02-20,Monday,17:00-19:00,81,12.3,63.5,9.2,1.6,Yes
2023-02-21,Tuesday,07:00-09:00,48,10.7,55.9,17.5,2.4,No
2023-02-21,Tuesday,09:00-11:00,76,18.6,51.4,17.5,2.4,No
2023-02-21,Tuesday,11:00-13:00,92,10.9,53.8,17.5,2.4,No
2023-02-21,Tuesday,13:00-15:00,71,12.7,59.5,17.5,2.4,No
2023-02-21,Tuesday,15:00-17:00,65,9.1,71.5,17.5,2.4,No
2023-02-21,Tuesday,17:00-19:00,55,12.4,60.0,17.5,2.4,No
2023-02-22,Wednesday,07:00-09:00,35,9.8,65.4,27.6,2.5,No
2023-02-22,Wednesday,09:00-11:00,92,10.3,61.6,27.6,2.5,No
2023-02-22,Wednesday,11:00-13:00,90,14.6,63.7,27.6,2.5,No
2023-02-22,Wednesday,13:00-15:00,81,16.0,63.1,27.6,2.5,No
2023-02-22,Wednesday,15:00-17:00,71,11.6,57.6,27.6,2.5,No
2023-02-22,Wednesday,17:00-19:00,51,9.7,57.0,27.6,2.5,No
2023-02-23,Thursday,07:00-09:00,34,12.0,71.5,20.5,5.6,No
2023-02-23,Thursday,09:00-11:00,75,12.8,58.3,20.5,5.6,No
2023-02-23,Thursday,11:00-13:00,99,21.4,59.5,20.5,5.6,No
2023-02-23,Thursday,13:00-15:00,60,7.9,80.2,20.5,5.6,No
2023-02-23,Thursday,15:00-17:00,64,11.9,66.7,20.5,5.6,No
2023-02-23,Thursday,17:00-19:00,51,7.9,63.9,20.5,5.6,No
2023-02-24,Friday,07:00-09:00,42,9.9,58.5,3.0,3.2,No
2023-02-24,Friday,09:00-11:00,83,13.1,65.3,3.0,3.2,No
2023-02-24,Friday,11:00-13:00,119,7.8,44.0,3.0,3.2,No
2023-02-24,Friday,13:00-15:00,56,10.0,52.6,3.0,3.2,No
2023-02-24,Friday,15:00-17:00,54,14.6,48.4,3.0,3.2,No
2023-02-24,Friday,17:00-19:00,46,16.9,48.7,3.0,3.2,No
2023-02-25,Saturday,07:00-09:00,49,13.6,69.5,9.2,4.8,No
2023-02-25,Saturday,09:00-11:00,98,11.9,60.5,9.2,4.8,No
2023-02-25,Saturday,11:00-13:00,92,16.1,68.4,9.2,4.8,No
2023-02-25,Saturday,13:00-15:00,69,16.6,61.2,9.2,4.8,No
2023-02-25,Saturday,15:00-17:00,84,16.7,61.6,9.2,4.8,No
2023-02-25,Saturday,17:00-19:00,65,15.7,57.1,9.2,4.8,No
2023-02-26,Sunday,07:00-09:00,54,15.8,64.1,16.7,4.3,No
2023-02-26,Sunday,09:00-11:00,101,9.3,48.2,16.7,4.3,No
2023-02-26,Sunday,11:00-13:00,125,16.3,54.6,16.7,4.3,No
2023-02-26,Sunday,13:00-15:00,87,12.3,65.5,16.7,4.3,No
2023-02-26,Sunday,15:00-17:00,71,12.8,55.9,16.7,4.3,No
2023-02-26,Sunday,17:00-19:00,59,13.5,58.1,16.7,4.3,No
2023-02-27,Monday,07:00-09:00,51,18.6,59.6,18.1,0.6,No
2023-02-27,Monday,09:00-11:00,81,8.9,66.9,18.1,0.6,No
2023-02-27,Monday,11:00-13:00,145,10.8,48.6,18.1,0.6,No
2023-02-27,Monday,13:00-15:00,61,13.4,66.4,18.1,0.6,No
2023-02-27,Monday,15:00-17:00,84,19.6,61.2,18.1,0.6,No
2023-02-27,Monday,17:00-19:00,63,8.7,61.4,18.1,0.6,No
2023-02-28,Tuesday,07:00-09:00,40,7.1,58.4,2.1,2.4,No
2023-02-28,Tuesday,09:00-11:00,67,7.7,72.7,2.1,2.4,No
2023-02-28,Tuesday,11:00-13:00,90,10.1,57.0,2.1,2.4,No
2023-02-28,Tuesday,13:00-15:00,56,12.9,52.5,2.1,2.4,No
2023-02-28,Tuesday,15:00-17:00,30,15.0,51.6,2.1,2.4,No
2023-02-28,Tuesday,17:00-19:00,47,9.4,51.2,2.1,2.4,No
2023-03-01,Wednesday,07:00-09:00,52,11.3,62.6,11.8,0,No
2023-03-01,Wednesday,09:00-11:00,102,10.5,65.5,11.8,0,No
2023-03-01,Wednesday,11:00-13:00,132,20.4,61.9,11.8,0,No
